name,description
BLDRS Emerging Markets 50 ADR Index Fund,"Crispy baked radish chips, a healthy snack alternative."
Koss Corporation,"A natural sweetener made from coconut sap, a healthier alternative to sugar."
"Carriage Services, Inc.",Compact trash can for keeping your car clean.
"The Ultimate Software Group, Inc.","Stylish leather ankle boots with a block heel, perfect for fall styling."
Principal Price Setters Index ETF,Fresh pre-cut carrot and celery sticks for easy snacking.
Luxfer Holdings PLC,"Ready-to-eat tuna salad with a spicy kick, perfect for sandwiches."
"Celadon Group, Inc.",Compact yoga mat that folds for easy storage and transport.
ChipMOS TECHNOLOGIES INC.,Space-saving colander for rinsing fruits and vegetables.
Capstone Turbine Corporation,Stylish stand to hold your recipes while cooking.
National Storage Affiliates Trust,Practical organizer for keeping your home tidy and clutter-free.
"Premier, Inc.","Crispy sweet potato fries, perfectly seasoned and baked to perfection."
Mazor Robotics Ltd.,A flavorful blend of rice with tropical pineapple and coconut flavors.
Alpha and Omega Semiconductor Limited,Classic marshmallow treats made with crispy rice.
Global X SuperDividend REIT ETF,Crisp and delicious organic apples.
"Griffin Industrial Realty, Inc.","A blend of assorted nuts, perfect for snacking or adding to recipes."
"Entergy Louisiana, Inc.",Custom keychain with engraved text.
Nucor Corporation,Whole grain oats that are perfect for breakfast or baking.
Synovus Financial Corp.,"Fluffy couscous that cooks in just minutes, perfect as a side."
Select Income REIT,Luxurious satin slip dress for an elegant evening look.
"ABIOMED, Inc.",Classic fit blue jeans with a slight stretch for comfort and durability.
"Aerohive Networks, Inc.","Quick-cooking couscous, great as a side or base."
PowerShares DWA Momentum & Low Volatility Rotation Portfolio,"A lightweight tank dress, ideal for warm weather outings."
"Cancer Genetics, Inc.",Professional-grade nail care set for manicures and pedicures.
Monmouth Real Estate Investment Corporation,Fresh organic cucumber perfect for salads or snacking.
"Beazer Homes USA, Inc.",Lint roller designed specifically for removing pet hair from furniture.
"AMAG Pharmaceuticals, Inc.",All-in-one kit for making pasta salad easily.
First Trust Nasdaq Oil & Gas ETF,Stylish bookends to keep books organized on shelves.
Genie Energy Ltd.,"Pasta tossed with fresh basil pesto, simple and delicious."
TravelCenters of America LLC,Non-stick and heat-resistant utensils for cooking.
"MYR Group, Inc.","Trendy high-low tee with a relaxed fit, ideal for weekends."
First Trust Nasdaq Pharmaceuticals ETF,"Tangy green salsa made with tomatillos, perfect for tacos."
"Cass Information Systems, Inc",Nutritious energy bars packed with chocolate chips.
"AvalonBay Communities, Inc.","A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer."
Primoris Services Corporation,Lightweight tripod designed for smartphone photography.
"KCG Holdings, Inc.",Cold pasta salad tossed with pesto and fresh vegetables.
Boulevard Acquisition Corp. II,Compact campfire for grilling and warmth during camping trips.
First Financial Corporation Indiana,Fresh salsa made with pineapple and spices
MiX Telematics Limited,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course."
Synovus Financial Corp.,Salty pretzels filled with creamy peanut butter.
"j2 Global, Inc.",BPA-free sports bottle with flip-top lid.
"Owens & Minor, Inc.",Rich and sweet paprika spice for seasoning.
"Gabelli Convertible and Income Securities Fund, Inc. (The)","Quick oatmeal cups with banana and nut flavor, great for breakfast."
Ita? CorpBanca,Frozen chicken wings with garlic parmesan sauce.
"Floor & Decor Holdings, Inc.",Wax warmer for creating a soothing atmosphere with fragrances.
Bank Of Montreal,Juicy raisins coated in rich dark chocolate.
"Williams Companies, Inc. (The)",Crunchy granola clusters mixed with nuts and honey.
Attunity Ltd.,Perfectly balanced sweet and tangy BBQ sauce for dipping or grilling.
Esterline Technologies Corporation,"Crunchy peanuts coated in honey, perfect for snacking."
L.B. Foster Company,Suction cup bird feeder for close-up bird watching.
M B T Financial Corp,"Essential cotton tank top, perfect for layering."
Alphabet Inc.,A sweet and spicy sauce for dipping or glazing.
"Ecology and Environment, Inc.",3D model puzzle kit for creative builders.
"Apollo Global Management, LLC",Effective laundry detergent for a deep clean.
Radian Group Inc.,Portable car vacuum cleaner with strong suction.
"Eleven Biotherapeutics, Inc.",Multi-functional gloves for planting and digging without tools.
"A-Mark Precious Metals, Inc.",Tangy vinaigrette with orange and ginger flavors.
Diageo plc,"Freshly baked bagels, perfect for breakfast or snacks."
"QuinStreet, Inc.",Cozy faux fur blanket to add warmth and style to your home.
Star Bulk Carriers Corp.,Spicy and tangy chili sauce for adding heat to any dish.
Electrum Special Acquisition Corporation,Comfortable gaming headset with surround sound.
"Conifer Holdings, Inc.","Creamy cheese with a spicy kick, perfect for sandwiches."
"Illumina, Inc.",Easy-to-make pancake mix with pumpkin spice flavor.
CoreSite Realty Corporation,"Fragrant jasmine rice, perfect as a side dish."
Oil-Dri Corporation Of America,Multi-port USB-C hub for connecting devices.
WisdomTree Emerging Markets Consumer Growth Fund,"Delicious vegetable dumplings, perfect for steaming or frying."
Cosan Limited,Comfortable slide sandals for lounging by the pool.
Sanchez Energy Corporation,Energy-efficient lights that charge during the day and illuminate at night.
Immune Pharmaceuticals Inc.,"Eye-catching mini dress with sequins, ideal for party nights out."
Scudder Municiple Income Trust,"Wide egg noodles, perfect for casseroles and soups."
STRATS Trust,"Creamy cottage cheese, perfect for healthy snacking."
American Superconductor Corporation,A ready-to-eat salad made with chickpeas and veggies.
Annaly Capital Management Inc,"Sliced black olives, perfect for salads and pizzas."
Dana Incorporated,Bluetooth scale that tracks body composition through an app.
Federal Agricultural Mortgage Corporation,A blend of herbs and garlic for seasoning meats and vegetables.
Coty Inc.,Non-stick surface for easy cooking and cleaning.
"RE/MAX Holdings, Inc.","Versatile air fryer that also roasts, bakes, and broils."
STAAR Surgical Company,"Fresh Brussels sprouts, great for roasting or steaming."
"BankUnited, Inc.",A feminine wrap top with a beautiful floral print.
BancFirst Corporation,STEM-based kit for kids featuring cool science experiments.
Annaly Capital Management Inc,Pure maple syrup for pancakes and more.
ProQR Therapeutics N.V.,Compact waffle maker for perfect small waffles.
"OraSure Technologies, Inc.",Durable ceramic bakeware for casseroles and desserts.
"Radius Health, Inc.",Learning tablet with kid-friendly educational apps.
"Monogram Residential Trust, Inc.","Stylish leather ankle boots with a block heel, perfect for fall styling."
Capitala Finance Corp.,Comfortable and breathable backpack for carrying small pets.
"Taubman Centers, Inc.",Water bottle that tracks your hydration levels.
R1 RCM Inc.,Durable and adjustable jump box for effective workouts.
Barclays PLC,Space-saving adjustable dumbbells for strength training.
Petroleo Brasileiro S.A.- Petrobras,"Gluten-free almond flour, perfect for baking."
"Aeglea BioTherapeutics, Inc.",Extra layer of comfort for your mattress.
"Harte-Hanks, Inc.",Space-saving shoe organizer for tight spaces.
"Pernix Therapeutics Holdings, Inc.","Lightly salted frozen edamame, a protein-packed snack."
NGL ENERGY PARTNERS LP,Water-resistant blanket for picnics and outdoor events.
"SCYNEXIS, Inc.","Sweet peach halves packed in juice, great for desserts."
"BioCryst Pharmaceuticals, Inc.",Seal food and maintain freshness longer.
iShares MSCI Qatar Capped ETF,Stream HD video wirelessly from devices to TV.
BiondVax Pharmaceuticals Ltd.,"Creamy cheddar cheese slices, perfect for sandwiches and snacks."
"Cogint, Inc.",Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.
"Cotiviti Holdings, Inc.","Authentic Italian pasta, perfect for a classic meal."
"Titan International, Inc.",Compact blender for quick smoothies and shakes.
Dean Foods Company,Smart speaker with Alexa and music streaming features.
"Cohen & Steers Infrastructure Fund, Inc",Adjustable tripod with remote shutter for smartphones.
Repligen Corporation,Light and breezy dress perfect for summer outings with a vibrant floral pattern.
"Pretium Resources, Inc.",UV light sanitizer for phones and small items.
"Dermira, Inc.",A warm knitted scarf to keep you cozy in winter.
Southern California Edison Company,Healthy granola made with oats and honey.
ClearBridge Energy MLP Total Return Fund Inc.,Chocolate coconut protein bars inspired by the classic candy bar.
ORBCOMM Inc.,"Wild-caught tuna in olive oil, perfect for salads."
Clifton Bancorp Inc.,"Savory hash made with sweet potatoes and kale, a perfect side dish."
Pacific Continental Corporation (Ore),Plant-based sausage links with spices and herbs.
"Xenia Hotels & Resorts, Inc.","Crispy and juicy chicken tenders, perfect for dipping."
Capitol Acquisition Corp. III,Compact air conditioner for personal cooling.
"Aratana Therapeutics, Inc.",Waterproof camera for capturing underwater adventures.
"LogMein, Inc.",Large wall planner for organizing schedules.
MiX Telematics Limited,"Raw brown sugar, perfect for baking or sweetening drinks."
"Mitek Systems, Inc.",Complete fondue set for chocolate and cheese parties.
Charter Financial Corp.,High-frequency whistle for training your dog effectively.
"Vital Therapies, Inc.",Durable jump rope with built-in counter for workouts.
Ideal Power Inc.,A blend of mixed nuts for snacking.
"Royal Bancshares of Pennsylvania, Inc.",Quick-boiling kettle for home and office use.
"Gray Television, Inc.",Essential kit for taking care of your pets' health emergencies.
"Home Bancorp, Inc.","Tangy goat cheese infused with herbs, perfect for snacking."
TCF Financial Corporation,Finely ground flour from dried coconut meat.
"NextEra Energy Partners, LP",Heavy-duty scissors for crafting and office use.
"Cara Therapeutics, Inc.",Creamy risotto infused with wild mushrooms.
"MedEquities Realty Trust, Inc.",Corn on the cob seasoned with chili and lime for a spicy kick.
"Synergy Pharmaceuticals, Inc.","Creamy mashed sweet potatoes, ready to heat and serve."
UNIVERSAL INSURANCE HOLDINGS INC,A cozy cable knit beanie to keep your head warm in winter.
Atlas Air Worldwide Holdings,Freshly baked artisan bread with a crisp crust and soft center.
PartnerRe Ltd.,Notepad made from recycled paper for sustainable note-taking.
Bright Horizons Family Solutions Inc.,Marinated chicken skewers infused with traditional tandoori spices.
Double Eagle Acquisition Corp.,Wi-Fi-enabled digital frame for displaying photos.
"Verifone Systems, Inc.",Stylish fruit basket for kitchen or dining room.
First Busey Corporation,Fun light that creates a disco atmosphere for parties.
"Mexico Fund, Inc. (The)","Nutritious blend of wild rice and quinoa, perfect as a side dish."
"Westbury Bancorp, Inc.",Fun robot that engages kids with games and activities.
FactSet Research Systems Inc.,Accurate stopwatch for timing events and workouts.
"Socket Mobile, Inc.",Hearty chili made with premium ground beef and kidney beans.
"Columbia Property Trust, Inc.",Supportive yoga wheel for deep stretching and balance.
Pinnacle West Capital Corporation,Nutty granola bars for healthy snacking.
AK Steel Holding Corporation,"Flavorful mustard with a tangy kick, perfect for hot dogs and sandwiches."
W.R. Berkley Corporation,Rugged phone case for drop protection.
The Blackstone Group L.P.,Color-changing smart LED bulbs compatible with Alexa.
ROBO Global Robotics and Automation Index ETF,Adjustable dog collar with personalized tags.
"Tallgrass Energy GP, LP",Precision cooker for perfect sous vide cooking.
"Mid-America Apartment Communities, Inc.",Sweet and tangy jam made from natural apricots.
"Safe Bulkers, Inc",Waterproof picnic blanket for outdoor fun.
Medtronic plc,Create spiraled vegetable noodles easily for healthy meals.
CSI Compressco LP,"Sustainable tank top made of bamboo cotton, offering breathability and comfort."
CPFL Energia S.A.,Comfortable slim fit chinos for a polished look.
"SharpSpring, Inc.","A fluffy pancake mix infused with maple and pecans, perfect for a hearty breakfast."
"Royce Value Trust, Inc.",A rich pesto made with sun-dried tomatoes and pine nuts.
Nuvectra Corporation,Heavy-duty grill pan for indoor grilling.
Teekay LNG Partners L.P.,"A hearty salad with lentils, veggies, and curry dressing."
Capstead Mortgage Corporation,"Quick oatmeal cups with banana and nut flavor, great for breakfast."
"First Community Bancshares, Inc.",Variety pack of craft supplies for kids' projects.
Eagle Point Credit Company Inc.,Ready-to-drink shots made with fresh ginger and turmeric.
Bunge Limited,Set for making fondue at home.
First Trust Energy Infrastructure Fund,Ergonomically designed pillow with breathable bamboo cover.
"Exponent, Inc.","Juicy pork tenderloin, great for roasting."
Eros International PLC,"Water-resistant jacket ideal for outdoor activities, featuring a packable design."
CyberArk Software Ltd.,"Wild-caught tuna in olive oil, perfect for salads."
"Pier 1 Imports, Inc.","Fresh zucchini, versatile for grilling or sautéing."
Griffon Corporation,Prevent water damage with drip trays for potted plants.
Six Flags Entertainment Corporation New,A fashion-forward bomber jacket to elevate your casual looks.
"BlackRock, Inc.",Adjustable shelving unit for home or garage storage.
Hubbell Inc,Insulated water bottle for keeping drinks cold.
PennyMac Mortgage Investment Trust,"Healthy whole grain cereal, great for breakfast."
United Community Bancorp,Set of reusable stainless steel straws for drinks.
Liberty Global plc,Creamy Greek yogurt infused with raspberry and vanilla flavors.
"Charter Communications, Inc.",A healthy mix of assorted dried fruits and nuts for snacking.
Zions Bancorporation,A sweet and tangy vinaigrette dressing for salads.
"First Industrial Realty Trust, Inc.",Lightweight backpack with an insulated water reservoir for hydration on the go.
"Spark Therapeutics, Inc.",Non-stick baking mat for easy cooking and cleanup.
"Cadence Design Systems, Inc.",Rich and creamy chocolate fudge ice cream for dessert.
Midatech Pharma PLC,Rechargeable hand warmer for cold weather comfort.
The Intergroup Corporation,Spice blend for creating flavorful vegan taco filling.
"NTT DOCOMO, Inc",Comprehensive emergency kit for roadside assistance.
BLDRS Asia 50 ADR Index Fund,Creamy honey mustard sauce for dipping or dressing.
"Warrior Met Coal, Inc.",Wi-Fi enabled plug for controlling devices from your smartphone.
Mercury Systems Inc,Comfortable harness designed to keep pets safe in the car.
Sanofi,Fresh organic blueberries perfect for snacking or baking.
"MINDBODY, Inc.","Crunchy pretzels coated in rich chocolate, a sweet treat."
"Reliv' International, Inc.",Custom keychain with engraved text.
VanEck Vectors Pharmaceutical ETF,"Thin rice noodles, ideal for stir-fries and soups."
New Home Company Inc. (The),"Flavorful mustard with a tangy kick, perfect for hot dogs and sandwiches."
Enduro Royalty Trust,"Fluffy quinoa mixed with lemon zest and herbs, a perfect side."
Wabash National Corporation,"Spicy sauce made with chili peppers and garlic, great for stir-frying."
Washington Prime Group Inc.,Fine granulated sugar for all your baking needs.
"Community Health Systems, Inc.",Rich sauce for desserts and ice cream.
Triangle Capital Corporation,"Protein-rich quinoa, a great alternative to rice."
Nuveen Tax-Advantaged Dividend Growth Fund,Frozen smoothie mix with bananas and peanut butter for a quick drink.
Inseego Corp.,Set of two yoga blocks for increased stability and support.
"Host Hotels & Resorts, Inc.",Set of magnetic jars for convenient spice organization.
Atomera Incorporated,"Creamy yogurt made from almond milk, vegan-friendly."
"AnaptysBio, Inc.",Protective goggles for DIY and construction work.
"Kite Pharma, Inc.",Versatile multi-cooker for pressure cooking and slow cooking.
"MINDBODY, Inc.",Create spiraled vegetable noodles easily for healthy meals.
"Banco Latinoamericano de Comercio Exterior, S.A.",Crispy apple chips drizzled with caramel for a sweet treat.
ClearBridge American Energy MLP Fund Inc.,Durable and adjustable jump box for effective workouts.
Morgan Stanley,Flavorful sauce perfect for stir-frying vegetables and tofu.
Nuveen Pennsylvania Quality Municipal Income Fund,Eco-friendly meal prep containers for healthy eating.
"GWG Holdings, Inc",Comfortable mouse pad designed to reduce wrist strain.
Xunlei Limited,Savory soup made with leeks and potatoes.
"Senomyx, Inc.",Soft silicone earbud covers for comfort and fit.
Mack-Cali Realty Corporation,"Fudgy brownie bites, perfect for sharing or snacking."
QAD Inc.,Adjustable lamp with multiple brightness levels and colors.
Pendrell Corporation,"Creamy yogurt with probiotics, available in various flavors."
Jensyn Acquistion Corp.,Burr coffee grinder for fresh ground coffee.
Eaton Vance Municipal Income Trust,"Delicious and fully cooked sliced ham, ready to eat."
magicJack VocalTec Ltd,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad."
"Super Micro Computer, Inc.","Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes."
Domino's Pizza Inc,"Frozen berries blend perfect for smoothies, just add yogurt."
Capital One Financial Corporation,"Sweet and fruity peach preserves, perfect for spreading on toast."
IBERIABANK Corporation,A fashion-forward bomber jacket to elevate your casual looks.
"support.com, Inc.",Spicy salsa made with fresh ingredients.
Federal Agricultural Mortgage Corporation,Abstract canvas print to enhance home decor.
"ARI Network Services, Inc.","Salmon fillets seasoned with lemon and dill, perfect for grilling."
LSI Industries Inc.,Fluffy biscuits made without gluten
"Golub Capital BDC, Inc.","Fresh fruit salad, ready to eat and refreshing."
Modine Manufacturing Company,"Frozen chicken bites coated in a honey sriracha glaze, spicy and sweet."
